,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
69934,211.25975,344.91388,42.330338,207.52797,353.13068,40.36899,164.48598,345.22473,42.296394,268.35788,378.0158,40.80295,279.43024,368.84793,40.19874,219.40755,360.06345,43.09791,239.99384,335.0118,34.480747,263.73352,347.26547,37.844288,304.70798,350.39456,37.451237,231.16513,336.56076,39.572334,200.1529,326.86417,38.97302,214.7535,334.86655,42.12774,573421101.079222,2019-03-04 19:38:16.079222,GRB190304818
69935,207.74385,351.59665,41.1568,208.30186,350.56635,37.623665,170.54855,338.74744,38.37832,264.99548,376.01508,41.9756,266.28464,369.62192,37.844578,225.07544,345.9384,42.703606,234.13232,332.6834,35.658646,263.96408,362.21518,39.02589,306.8941,366.31195,37.06261,236.24606,325.57294,37.807205,198.97026,320.7808,37.404842,203.18636,321.72806,39.971085,573421105.175287,2019-03-04 19:38:20.175287,GRB190304818
69936,214.02853,356.12625,41.551327,211.03532,341.53625,43.10842,179.77167,339.17703,38.38262,290.9214,378.41357,40.80354,278.4144,368.01678,36.664433,218.61034,353.18497,47.796524,242.75227,339.34378,32.327785,260.79596,348.05475,32.550472,298.80588,353.1164,35.880234,231.14568,332.02704,33.496532,191.73705,335.6867,34.46958,210.04198,319.96133,32.329224,573421109.271353,2019-03-04 19:38:24.271353,GRB190304818
69937,214.41072,344.15466,41.35344,202.80678,331.9369,34.09505,171.55887,352.71405,41.9105,295.07803,385.32797,39.827686,288.03,369.2039,37.05764,226.6492,352.02127,46.426846,234.51181,336.3883,35.46085,266.50656,353.77322,34.90667,297.64255,346.6614,35.293583,224.87662,334.96432,33.888203,199.17485,323.92844,37.21064,210.03952,326.6193,32.524776,573421113.367418,2019-03-04 19:38:28.367418,GRB190304818
69938,215.40007,344.75772,47.039143,212.2162,331.15915,42.129715,176.04686,329.96545,43.66902,290.3474,386.67212,37.47051,280.96326,375.2712,39.80149,227.82425,341.83432,44.859634,239.02618,337.96735,30.36808,275.72388,352.98935,35.495037,313.1445,355.4984,34.706684,246.41576,318.10745,29.773603,205.26146,338.05466,34.275528,209.24747,323.07965,35.462353,573421117.4634821,2019-03-04 19:38:32.463482,GRB190304818
69939,219.33357,357.91162,46.846046,203.21309,338.81912,41.15212,173.29579,338.36737,38.37963,286.4199,387.45157,43.355343,286.06686,367.82825,41.174805,237.25894,350.3047,49.567722,226.07983,324.23062,33.892384,270.6278,359.66043,36.868137,311.57153,359.80728,34.31405,232.70862,328.69113,38.19712,200.94673,319.8304,32.707703,198.28635,325.2523,35.464256,573421121.559547,2019-03-04 19:38:36.559547,GRB190304818
69940,217.75171,358.28094,44.68712,227.34143,355.90692,39.588768,179.57382,335.84418,39.752983,276.20236,385.66324,38.840958,270.00912,376.09113,40.39352,225.89673,348.93503,49.176132,242.3524,321.11203,31.543037,266.90308,355.74002,36.868317,305.28918,364.11176,33.52887,234.28534,334.38553,37.806915,208.59404,325.7201,34.080154,203.77063,322.11432,33.11273,573421125.655612,2019-03-04 19:38:40.655612,GRB190304818
69941,218.51442,345.31155,44.682766,222.63605,359.82376,41.15631,174.49165,350.15836,42.10517,268.5692,383.72635,34.331345,265.68353,362.34918,41.176044,220.596,358.32156,47.410507,252.36507,336.22552,34.092796,258.27164,356.91296,35.299084,312.1488,367.04935,36.0775,239.17883,335.55557,34.47623,202.7035,326.47995,37.21127,202.58864,325.0431,40.752842,573421129.751677,2019-03-04 19:38:44.751677,GRB190304818
69942,231.87665,357.71335,45.473698,223.21088,349.61212,39.782097,174.88474,341.54422,45.63062,271.68127,386.8271,41.389713,260.7789,384.50183,43.332436,221.579,360.4822,48.782646,222.76604,333.65924,35.462315,260.44495,359.2885,36.085747,291.16388,373.31717,35.48866,232.53027,337.9231,37.02462,198.38727,324.5091,38.18906,202.38298,325.41928,32.718254,573421133.8477421,2019-03-04 19:38:48.847742,GRB190304818
69943,222.63673,359.62888,38.608658,215.75378,336.2702,37.232716,173.30344,344.45282,41.906143,265.59814,386.03925,41.193214,261.53976,376.6251,37.642902,227.65024,353.03418,53.484093,238.84697,315.85013,37.619865,257.6921,350.2573,33.927498,291.55054,373.89838,37.448658,235.6609,341.24796,37.80761,194.48312,338.82758,32.90349,199.64401,332.4788,34.482185,573421137.9438059,2019-03-04 19:38:52.943806,GRB190304818
